x        m             v        
  6.05   5.519963101   1.015172708 
  6.06   5.530114614   1.015130029 
  6.07   5.540265702   1.015087586 
  6.08   5.550416367   1.015045377 
  6.09   5.560566610   1.015003399 
  6.10   5.570716435   1.014961652 
  6.11   5.580865844   1.014920133 
  6.12   5.591014839   1.014878840 
  6.13   5.601163422   1.014837771 
  6.14   5.611311595   1.014796924 
  6.15   5.621459361   1.014756298 
  6.16   5.631606722   1.014715891 
  6.17   5.641753680   1.014675700 
  6.18   5.651900236   1.014635724 
  6.19   5.662046395   1.014595961 
  6.20   5.672192156   1.014556409 
  6.21   5.682337524   1.014517067 
  6.22   5.692482498   1.014477933 
  6.23   5.702627083   1.014439005 
  6.24   5.712771279   1.014400282 
  6.25   5.722915089   1.014361762 
  6.26   5.733058515   1.014323442 
  6.27   5.743201559   1.014285322 
  6.28   5.753344222   1.014247400 
  6.29   5.763486507   1.014209675 
  6.30   5.773628416   1.014172144 
  6.31   5.783769951   1.014134807 
  6.32   5.793911113   1.014097661 
  6.33   5.804051905   1.014060705 
  6.34   5.814192328   1.014023938 
  6.35   5.824332384   1.013987358 
  6.36   5.834472076   1.013950964 
  6.37   5.844611404   1.013914754 
  6.38   5.854750371   1.013878727 
  6.39   5.864888979   1.013842881 
  6.40   5.875027230   1.013807215 
  6.41   5.885165124   1.013771728 
  6.42   5.895302665   1.013736418 
  6.43   5.905439853   1.013701284 
  6.44   5.915576691   1.013666324 
  6.45   5.925713180   1.013631537 
  6.46   5.935849322   1.013596923 
  6.47   5.945985119   1.013562478 
  6.48   5.956120572   1.013528203 
  6.49   5.966255684   1.013494096 
  6.50   5.976390455   1.013460156 
  6.51   5.986524887   1.013426381 
  6.52   5.996658983   1.013392771 
  6.53   6.006792743   1.013359323 
  6.54   6.016926170   1.013326037 
  6.55   6.027059265   1.013292912 
  6.56   6.037192029   1.013259946 
  6.57   6.047324464   1.013227138 
  6.58   6.057456572   1.013194487 
  6.59   6.067588354   1.013161992 
  6.60   6.077719812   1.013129652 
  6.61   6.087850948   1.013097466 
  6.62   6.097981762   1.013065432 
  6.63   6.108112257   1.013033550 
  6.64   6.118242434   1.013001817 
  6.65   6.128372294   1.012970234 
  6.66   6.138501839   1.012938800 
  6.67   6.148631070   1.012907512 
  6.68   6.158759990   1.012876370 
  6.69   6.168888598   1.012845374 
  6.70   6.179016898   1.012814521 
  6.71   6.189144889   1.012783811 
  6.72   6.199272574   1.012753244 
  6.73   6.209399955   1.012722817 
  6.74   6.219527031   1.012692530 
  6.75   6.229653806   1.012662382 
  6.76   6.239780279   1.012632372 
  6.77   6.249906454   1.012602500 
